Latitud,Longitud,Codigo de estacion,Nombre de estacion,Tipo de archivo,Achivo fisico y localizable,Variable,Medicion,Año con datos digitales,Formato de archivo,Contador de archivos digitales,Cantidad de datos por archivo,Datos obtenidos,Año con nombre ,Meses en tablas (csv o excel),Inventario fisico (localizacion),,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2006,Lluvia,Discreta,,,,,,,Pendiente,Caja 15,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2007,Lluvia,Discreta,,,,,,,Pendiente,Caja 15,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2008,Lluvia,Discreta,,,,,,,Pendiente,Caja 15,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2015,Lluvia,Discreta,,,,,,,Pendiente,Caja 15,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2017,Lluvia,Discreta,,,,,,,Pendiente,Caja 15,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2018,Lluvia,Discreta,,,,,,,Pendiente,Caja 15,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2021,Lluvia,Discreta,,,,,,,Pendiente,Caja 15,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2023,Lluvia,Discreta,2023,PDF,23,7,161,2023,Pendiente,,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2024,Lluvia,Discreta,2024,PDF,8,7,56,2024,Pendiente,,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2025,Lluvia,Discreta,2025,PDF,12,7,84,2025,Pendiente,,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2025,Lluvia,Discreta,2025,JPG,10,7,70,2025,Pendiente,,,
8.583333333,-82.46666667,108009,Los Palomos,Tarjeta pluviometrica ,2026,Lluvia,Discreta,2026,JPG,7,7,49,2026,Pendiente,,,
8.560256,-82.389637,108013,Angostura Cochea,Libreta pluviometrica ,2014,Lluvia,Discreta,,,,,,,Pendiente,Caja 14,,
